,date_mutation,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
5446,02/07/2021,370000,Appartement,45,1,2.32618,48.874609
3116,05/06/2021,336000,Appartement,20,2,2.318832,48.880714
7323,30/07/2021,2700000,Appartement,172,4,2.303563,48.877964
2558,28/05/2021,1420000,Appartement,120,4,2.308494,48.872214
100,05/02/2021,1168945,Appartement,84,3,2.314291,48.878635
2769,04/05/2021,120000,Appartement,9,1,2.299978,48.873563
10998,19/11/2021,598560,Appartement,58,2,2.299932,48.869507
131,01/02/2021,690000,Appartement,64,3,2.323767,48.8807
9721,21/10/2021,190000,Appartement,14,1,2.317096,48.875756
6964,03/08/2021,380000,Appartement,39,2,2.323937,48.871607
6258,30/07/2021,1804100,Appartement,156,5,2.3255,48.880039
8822,13/09/2021,2560000,Appartement,222,7,2.31446,48.879818
4002,10/06/2021,208980,Appartement,25,2,2.321297,48.873629
102,15/02/2021,605000,Appartement,50,2,2.32347,48.881722
4831,18/06/2021,1650000,Appartement,106,4,2.320787,48.872583
9866,07/10/2021,1343010,Appartement,140,5,2.324251,48.87945
9956,11/10/2021,2245000,Appartement,173,6,2.300027,48.877899
1058,08/04/2021,241707,Appartement,28,1,2.304678,48.871669
11738,07/12/2021,1430000,Appartement,105,3,2.323772,48.870824
12102,16/12/2021,915000,Appartement,69,3,2.32376,48.88156
4157,28/06/2021,823000,Appartement,80,3,2.314634,48.876885
6654,28/07/2021,2318000,Appartement,160,4,2.3136,48.880584
8568,24/09/2021,1127620,Appartement,94,3,2.304253,48.875825
4081,28/06/2021,673000,Appartement,41,2,2.31754,48.87088
8874,04/10/2021,1425000,Appartement,75,3,2.311088,48.872088
6949,05/08/2021,105000,Appartement,10,1,2.317283,48.875759
5919,22/07/2021,448000,Appartement,44,1,2.323241,48.875981
234,10/03/2021,1600000,Appartement,127,4,2.324912,48.882333
10067,05/10/2021,699000,Appartement,55,3,2.299547,48.877946
55,21/01/2021,1077000,Appartement,79,4,2.306525,48.873912
5935,29/07/2021,312000,Appartement,26,1,2.317676,48.872936
733,07/04/2021,403000,Appartement,35,2,2.317076,48.871015
5417,09/07/2021,890000,Appartement,80,2,2.315841,48.879596
11727,02/12/2021,558500,Appartement,50,3,2.324644,48.882453
141,04/02/2021,1200000,Appartement,74,2,2.301586,48.868893
77,04/02/2021,590500,Appartement,69,2,2.300213,48.870244
1880,10/05/2021,667000,Appartement,55,3,2.345725,48.88009
4790,28/06/2021,374780,Appartement,30,3,2.343206,48.873792
3849,31/05/2021,830000,Appartement,79,4,2.343379,48.873741
4587,02/07/2021,426380,Appartement,37,2,2.345309,48.879421
1808,16/04/2021,1000000,Appartement,73,3,2.342119,48.879782
6809,13/08/2021,300000,Appartement,28,1,2.332403,48.878616
6994,05/08/2021,1164500,Appartement,90,4,2.333196,48.883241
5830,20/07/2021,863600,Appartement,53,3,2.344231,48.875832
11438,19/11/2021,770000,Appartement,68,3,2.344504,48.879311
24465,07/01/2021,170000,Appartement,10,1,2.344047,48.87728
9121,24/09/2021,590000,Appartement,49,4,2.32895,48.882589
24499,21/01/2021,1000000,Appartement,107,4,2.333196,48.883241
3564,14/06/2021,3000000,Appartement,215,8,2.331811,48.883383
1002,24/03/2021,1226000,Appartement,124,4,2.333807,48.883084
979,25/03/2021,350000,Appartement,32,2,2.339078,48.878895
1366,12/04/2021,665000,Appartement,70,3,2.344089,48.875062
11396,09/11/2021,695000,Appartement,64,3,2.329247,48.883517
5737,30/06/2021,521650,Appartement,44,3,2.332353,48.87443
4242,25/06/2021,1850000,Appartement,162,6,2.348936,48.879729
9968,25/10/2021,280000,Appartement,31,2,2.337132,48.881368
7187,27/08/2021,450000,Appartement,28,1,2.343121,48.879683
4083,04/06/2021,1215000,Appartement,104,3,2.337343,48.876888
7302,04/08/2021,1820000,Appartement,156,5,2.33006,48.880437
24468,21/01/2021,1077900,Appartement,59,1,2.341471,48.881559
24445,19/01/2021,500000,Appartement,35,3,2.33699,48.881487
2790,28/05/2021,740000,Appartement,57,3,2.345617,48.87789
11546,25/11/2021,750000,Appartement,64,3,2.345164,48.874346
11815,07/12/2021,730000,Appartement,63,2,2.335652,48.874056
6144,20/07/2021,246000,Appartement,34,1,2.346219,48.877774
7318,27/08/2021,357000,Appartement,23,2,2.326815,48.87205
11042,08/11/2021,750000,Appartement,65,4,2.346845,48.881676
795,09/04/2021,215000,Appartement,17,1,2.331744,48.874425
2870,25/05/2021,374467,Appartement,46,3,2.343226,48.876724
6355,26/07/2021,936650,Appartement,72,3,2.330649,48.880781
