,type_local,surface_reelle_bati,longitude,latitude,trimestre_trimestre_1,trimestre_trimestre_2,trimestre_trimestre_3,trimestre_trimestre_4,année_2018,année_2019,année_2020,année_2021,année_2022,année_antérieur_a_2018,nb_pieces_0,nb_pieces_1,nb_pieces_2,nb_pieces_3,nb_pieces_4,nb_pieces_5,nb_pieces_6,nb_pieces_7,nb_pieces_8,nb_pieces_more_than_9
14,0,0.17045454545454544,0.9897040495730383,0.9903454401147762,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
15,0,0.034090909090909095,0.9816895490346456,0.9742233604037338,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
16,0,0.09848484848484848,0.986325175975377,0.9779572184344545,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
17,0,0.20075757575757575,0.9809577550764967,0.9716776176005659,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
18,0,0.09090909090909091,0.9770640356508637,0.9738460547804948,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
19,0,0.04924242424242425,0.9826683440096795,0.9662660643066943,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20,0,0.2575757575757576,0.9829911967036874,0.9787442400505171,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
21,0,0.11742424242424243,0.9871167468107812,0.9814649376977904,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
22,0,0.026515151515151512,0.9822011881250478,0.9787779346045546,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
23,0,0.12121212121212122,0.9829730663028142,0.9621459113615494,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
24,0,0.4696969696969697,0.9690240456599961,0.9854129487743037,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25,0,0.7348484848484849,0.9655344368361398,0.975864364682451,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
26,0,0.11742424242424243,0.984021628375993,0.9737292551467185,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
27,0,0.20075757575757575,0.9884548608416702,0.9790046848883414,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
