,type_local,surface_reelle_bati,longitude,latitude,trimestre_trimestre_1,trimestre_trimestre_2,trimestre_trimestre_3,trimestre_trimestre_4,année_2018,année_2019,année_2020,année_2021,année_2022,année_antérieur_a_2018,nb_pieces_0,nb_pieces_1,nb_pieces_2,nb_pieces_3,nb_pieces_4,nb_pieces_5,nb_pieces_6,nb_pieces_7,nb_pieces_8,nb_pieces_more_than_9
68,0,0.0824171133907603,-0.47506102248302845,0.3815910956844071,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
69,0,-1.181945299307926,0.08858286321515532,-0.7766920206096313,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
70,0,-0.7341502781438078,0.23748259385815274,0.30165401937119923,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
71,0,-0.44440055856702565,-0.04191037559984984,-0.6635148700198222,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
72,0,-0.8131729289374757,0.044080164803455335,0.4216327693179125,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
73,0,2.031642499634568,-0.4261471130987579,0.7989642923519241,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
74,0,0.6619165525443248,-0.9915059272464339,-0.49529230269899027,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
75,0,-0.39171879137124704,-0.7395176364702666,0.20915226811714524,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
76,0,-0.28635525697968983,-0.42787546803433124,-1.1094694110819514,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
77,0,0.13509888058653888,0.2556937913431368,0.3267394879672444,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
78,0,0.10875799698864959,-0.9298392972640944,-0.7269123582194121,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
79,0,0.8726436213274392,-0.5170102473599755,-1.0008047194203284,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
80,0,-0.8131729289374757,0.12262510837978352,0.3467420409149341,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
81,0,-0.7868320453395865,-0.18279083228330145,-0.7221768360865012,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
82,0,-0.7868320453395865,0.48573710091403666,0.28465733452671965,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
83,0,-1.181945299307926,0.16070750526527763,0.36542815527709804,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
84,0,-0.65512762735014,-0.26693828232451733,-0.319814696064023,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
85,0,-0.6024458601543614,0.4254741490220344,1.261187820262889,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
86,0,-0.33903702417546844,0.17094825237647338,0.3219491142267547,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
87,0,-0.65512762735014,0.322862839439571,-0.04570292843227227,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
