,valeur_fonciere
978,300000
979,322863
980,1277000
981,252000
982,255925
983,955500
984,533000
985,375000
986,671000
987,167000
988,551060
989,1629518
990,283000
991,338680
992,715000
993,2150000
994,800007
995,368130
996,470000
997,204500
998,270000
999,210000
1000,195000
1001,285000
1002,317500
1003,545000
1004,190000
1005,155000
1006,322315
1007,365000
1008,371200
1009,450000
1010,530000
1011,352450
1012,418200
1013,665000
1014,450000
1015,183720
1016,847500
1017,345000
1018,187000
1019,373440
1020,380000
1021,505000
1022,921830
1023,616000
1024,375595
1025,1719700
1026,292000
1027,315000
1028,1250000
1029,337000
1030,596000
1031,290000
1032,266246
1033,270532
1034,1261000
1035,2100900
1036,597000
1037,494400
1038,368000
1039,968644
1040,148000
1041,317000
1042,510000
1043,346600
1044,656850
1045,490000
1046,362788
1047,127000
1048,2200000
1049,826230
1050,495000
1051,465000
1052,130000
1053,1240000
1054,752000
1055,775500
1056,1085000
1057,144691
1058,145000
1059,355000
1060,206600
1061,360000
1062,626665
1063,520000
1064,140000
1065,302000
1066,290000
1067,690000
1068,228000
1069,345000
1070,94280
1071,335000
1072,248000
1073,670000
1074,445000
1075,229000
1076,1472750
1077,149360
1078,1500000
1079,626968
1080,327000
1081,245000
1082,275000
1083,342000
1084,300000
1085,525000
1086,830000
1087,429000
1088,560000
1089,206298
1090,395000
1091,486550
1092,585000
1093,532170
1094,532000
1095,1154000
1096,1175000
1097,495000
1098,398500
1099,682000
1100,607000
1101,579000
1102,280000
1103,320000
1104,512000
1105,255745
1106,320000
1107,150300
1108,1015000
1109,315000
1110,589000
1111,470000
1112,315000
1113,628000
1114,1500000
1115,355000
1116,671000
1117,597600
1118,256900
1119,371900
1120,1078030
1121,759615
1122,1370000
1123,610250
1124,558332
1125,614320
1126,109000
1127,310000
1128,2395000
1129,250000
1130,250000
1131,165000
1132,359000
1133,367000
1134,4223305
1135,370000
1136,895000
1137,1610000
1138,1038510
1139,2600000
1140,340000
1141,628015
1142,200000
1143,491000
1144,1162500
1145,2996950
1146,900000
1147,220300
1148,880500
1149,234470
1150,1463700
1151,240000
1152,437000
1153,3465000
1154,385000
1155,267500
1156,185000
1157,646900
1158,565000
1159,500000
1160,480000
1161,269450
1162,2200000
1163,404000
1164,907200
1165,575000
1166,325000
1167,260000
1168,176900
1169,1350000
1170,465000
1171,450000
1172,995300
1173,284500
1174,770000
1175,461000
1176,165950
1177,198710
1178,275000
1179,302000
1180,770000
1181,672880
1182,393675
1183,913000
1184,565500
1185,395000
1186,525500
1187,480700
1188,176000
1189,300000
1190,175000
1191,420000
1192,903000
1193,527500
1194,790000
1195,344000
1196,882200
1197,166800
1198,490000
1199,300000
1200,1055100
1201,342800
1202,330000
1203,1027500
1204,337000
1205,134300
1206,1895000
1207,1000000
1208,160850
1209,556150
1210,520000
1211,314780
1212,2340000
1213,126000
1214,317650
1215,725000
1216,572300
1217,933000
1218,198000
1219,317750
1220,2255000
1221,287000
1222,693500
1223,299000
1224,660994
1225,556800
1226,394240
1227,1250000
1228,345000
1229,404000
1230,276375
1231,710000
1232,366435
1233,940000
1234,965000
1235,167000
1236,475000
1237,790000
1238,1186600
1239,435000
1240,249400
1241,285000
1242,199000
1243,239222
1244,382500
1245,1405038
1246,205000
1247,338000
1248,921500
1249,508000
1250,125350
1251,433740
1252,378250
1253,1250000
1254,910000
1255,720000
1256,385000
1257,400000
1258,861650
1259,466100
1260,270000
1261,1995000
1262,465000
1263,636500
1264,329000
1265,375000
1266,1285000
1267,547750
1268,892880
1269,240000
1270,370000
1271,235000
1272,650000
1273,565000
1274,475000
1275,381040
1276,110000
1277,255500
1278,725800
1279,300300
1280,360700
1281,930590
1282,325000
1283,364250
1284,300000
1285,417000
1286,1657190
1287,250000
1288,150000
1289,377000
1290,3800000
1291,770000
1292,196000
1293,541000
1294,370000
1295,540000
1296,2600000
1297,499000
1298,343000
1299,650000
1300,325550
1301,826700
1302,2431400
